,collection_date,lineage,abundance
0,2023-08-21,XBB.1.5.X,0.9997681199999999
1,2023-09-18,XBB.1.5.X,0.12098613
2,2023-09-21,XBB.1.5.X,0.56267258
3,2023-09-28,XBB.1.5.X,0.28871047
4,2023-10-02,XBB.1.5.X,0.03935802
5,2023-10-16,XBB.1.5.X,0.105096
6,2023-10-19,XBB.1.5.X,0.27850348999999996
7,2023-10-26,XBB.1.5.X,0.9992663199999999
8,2023-10-30,XBB.1.5.X,0.0
9,2023-05-10,XBB.1.5.X,0.9234050500000001
10,2024-02-15,XBB.1.5.X,0.0
11,2024-04-04,XBB.1.5.X,0.0
12,2024-04-11,XBB.1.5.X,0.0
13,2024-04-15,XBB.1.5.X,0.0
14,2024-04-18,XBB.1.5.X,0.0
15,2024-05-13,XBB.1.5.X,0.0
16,2024-05-16,XBB.1.5.X,0.0
17,2024-05-20,XBB.1.5.X,0.0
18,2024-07-08,XBB.1.5.X,0.0
19,2024-07-04,XBB.1.5.X,0.0
20,2024-06-27,XBB.1.5.X,0.0
21,2023-08-21,BA.2.86.X,0.0
22,2023-09-18,BA.2.86.X,0.87704336
23,2023-09-21,BA.2.86.X,0.26706569
24,2023-09-28,BA.2.86.X,0.0
25,2023-10-02,BA.2.86.X,0.0
26,2023-10-16,BA.2.86.X,0.894904
27,2023-10-19,BA.2.86.X,0.211009
28,2023-10-26,BA.2.86.X,0.0
29,2023-10-30,BA.2.86.X,0.9988965900000001
30,2023-05-10,BA.2.86.X,0.0
31,2024-02-15,BA.2.86.X,0.0
32,2024-04-04,BA.2.86.X,0.380256
33,2024-04-11,BA.2.86.X,0.51309464
34,2024-04-15,BA.2.86.X,0.0
35,2024-04-18,BA.2.86.X,0.0
36,2024-05-13,BA.2.86.X,0.9078184
37,2024-05-16,BA.2.86.X,0.03488414
38,2024-05-20,BA.2.86.X,0.0
39,2024-07-08,BA.2.86.X,0.0
40,2024-07-04,BA.2.86.X,0.0
41,2024-06-27,BA.2.86.X,0.0
42,2023-08-21,XBB.X,0.0
43,2023-09-18,XBB.X,0.0
44,2023-09-21,XBB.X,0.1175493
45,2023-09-28,XBB.X,0.0
46,2023-10-02,XBB.X,0.95711052
47,2023-10-16,XBB.X,0.0
48,2023-10-19,XBB.X,0.43755593000000004
49,2023-10-26,XBB.X,0.0
50,2023-10-30,XBB.X,0.0
51,2023-05-10,XBB.X,0.07219917
52,2024-02-15,XBB.X,0.0
53,2024-04-04,XBB.X,0.0
54,2024-04-11,XBB.X,0.0
55,2024-04-15,XBB.X,0.0
56,2024-04-18,XBB.X,0.0
57,2024-05-13,XBB.X,0.0
58,2024-05-16,XBB.X,0.0
59,2024-05-20,XBB.X,0.0
60,2024-07-08,XBB.X,0.0
61,2024-07-04,XBB.X,0.0
62,2024-06-27,XBB.X,0.0
63,2023-08-21,Recombinants,0.0
64,2023-09-18,Recombinants,0.0
65,2023-09-21,Recombinants,0.0520833
66,2023-09-28,Recombinants,0.0
67,2023-10-02,Recombinants,0.0
68,2023-10-16,Recombinants,0.0
69,2023-10-19,Recombinants,0.039995
70,2023-10-26,Recombinants,0.0
71,2023-10-30,Recombinants,0.0
72,2023-05-10,Recombinants,0.0
73,2024-02-15,Recombinants,0.0
74,2024-04-04,Recombinants,0.0
75,2024-04-11,Recombinants,0.0
76,2024-04-15,Recombinants,0.0
77,2024-04-18,Recombinants,0.0
78,2024-05-13,Recombinants,0.0
79,2024-05-16,Recombinants,0.0
80,2024-05-20,Recombinants,0.0
81,2024-07-08,Recombinants,0.0
82,2024-07-04,Recombinants,0.0
83,2024-06-27,Recombinants,0.0
84,2023-08-21,XBB.1.9.X,0.0
85,2023-09-18,XBB.1.9.X,0.0
86,2023-09-21,XBB.1.9.X,0.0
87,2023-09-28,XBB.1.9.X,0.707006
88,2023-10-02,XBB.1.9.X,0.0
89,2023-10-16,XBB.1.9.X,0.0
90,2023-10-19,XBB.1.9.X,0.0095693
91,2023-10-26,XBB.1.9.X,0.0
92,2023-10-30,XBB.1.9.X,0.0
93,2023-05-10,XBB.1.9.X,0.0
94,2024-02-15,XBB.1.9.X,0.0
95,2024-04-04,XBB.1.9.X,0.0
96,2024-04-11,XBB.1.9.X,0.0
97,2024-04-15,XBB.1.9.X,0.0
98,2024-04-18,XBB.1.9.X,0.0
99,2024-05-13,XBB.1.9.X,0.0
100,2024-05-16,XBB.1.9.X,0.0
101,2024-05-20,XBB.1.9.X,0.0
102,2024-07-08,XBB.1.9.X,0.0
103,2024-07-04,XBB.1.9.X,0.0
104,2024-06-27,XBB.1.9.X,0.0
105,2023-08-21,BA.2.X,0.0
106,2023-09-18,BA.2.X,0.0
107,2023-09-21,BA.2.X,0.0
108,2023-09-28,BA.2.X,0.0
109,2023-10-02,BA.2.X,0.0
110,2023-10-16,BA.2.X,0.0
111,2023-10-19,BA.2.X,0.019515769999999998
112,2023-10-26,BA.2.X,0.0
113,2023-10-30,BA.2.X,0.0
114,2023-05-10,BA.2.X,0.0
115,2024-02-15,BA.2.X,0.0
116,2024-04-04,BA.2.X,0.0
117,2024-04-11,BA.2.X,0.0
118,2024-04-15,BA.2.X,0.0
119,2024-04-18,BA.2.X,0.0
120,2024-05-13,BA.2.X,0.0
121,2024-05-16,BA.2.X,0.0
122,2024-05-20,BA.2.X,0.0
123,2024-07-08,BA.2.X,0.0
124,2024-07-04,BA.2.X,0.0
125,2024-06-27,BA.2.X,0.0
126,2023-08-21,JN.1.X,0.0
127,2023-09-18,JN.1.X,0.0
128,2023-09-21,JN.1.X,0.0
129,2023-09-28,JN.1.X,0.0
130,2023-10-02,JN.1.X,0.0
131,2023-10-16,JN.1.X,0.0
132,2023-10-19,JN.1.X,0.0
133,2023-10-26,JN.1.X,0.0
134,2023-10-30,JN.1.X,0.0
135,2023-05-10,JN.1.X,0.0
136,2024-02-15,JN.1.X,0.99906736
137,2024-04-04,JN.1.X,0.619744
138,2024-04-11,JN.1.X,0.48552442
139,2024-04-15,JN.1.X,0.499777
140,2024-04-18,JN.1.X,0.99915522
141,2024-05-13,JN.1.X,0.09160916
142,2024-05-16,JN.1.X,0.96404955
143,2024-05-20,JN.1.X,0.99910732
144,2024-07-08,JN.1.X,0.72987133
145,2024-07-04,JN.1.X,0.999737
146,2024-06-27,JN.1.X,0.99920688
147,2023-08-21,KP.1.X,0.0
148,2023-09-18,KP.1.X,0.0
149,2023-09-21,KP.1.X,0.0
150,2023-09-28,KP.1.X,0.0
151,2023-10-02,KP.1.X,0.0
152,2023-10-16,KP.1.X,0.0
153,2023-10-19,KP.1.X,0.0
154,2023-10-26,KP.1.X,0.0
155,2023-10-30,KP.1.X,0.0
156,2023-05-10,KP.1.X,0.0
157,2024-02-15,KP.1.X,0.0
158,2024-04-04,KP.1.X,0.0
159,2024-04-11,KP.1.X,0.0
160,2024-04-15,KP.1.X,0.499777
161,2024-04-18,KP.1.X,0.0
162,2024-05-13,KP.1.X,0.0
163,2024-05-16,KP.1.X,0.0
164,2024-05-20,KP.1.X,0.0
165,2024-07-08,KP.1.X,0.0
166,2024-07-04,KP.1.X,0.0
167,2024-06-27,KP.1.X,0.0
168,2023-08-21,KP.2.X,0.0
169,2023-09-18,KP.2.X,0.0
170,2023-09-21,KP.2.X,0.0
171,2023-09-28,KP.2.X,0.0
172,2023-10-02,KP.2.X,0.0
173,2023-10-16,KP.2.X,0.0
174,2023-10-19,KP.2.X,0.0
175,2023-10-26,KP.2.X,0.0
176,2023-10-30,KP.2.X,0.0
177,2023-05-10,KP.2.X,0.0
178,2024-02-15,KP.2.X,0.0
179,2024-04-04,KP.2.X,0.0
180,2024-04-11,KP.2.X,0.0
